Timestamp,Occupancy,Capacity,QueueLength,TrafficNumeric,IsSpecialDay,VehicleWeight,ID,Latitude,Longitude
2016-10-04 07:59:00,61,577,1,1,0,1.0,0,26.14453614,91.73617216
2016-10-04 07:59:00,237,1200,2,1,0,0.5,5248,26.14001386,91.73099967
2016-10-04 07:59:00,264,687,2,1,0,1.0,3936,20.0000347,78.00000286
2016-10-04 07:59:00,249,485,2,1,0,1.0,6560,26.14004753,91.73097233
2016-10-04 07:59:00,614,1920,2,1,0,0.3,17056,26.15050395,91.73353109
2016-10-04 07:59:00,117,470,2,1,0,1.0,2624,26.14901995,91.7395035
2016-10-04 07:59:00,178,690,2,1,0,1.0,7872,26.13795775,91.74099445
2016-10-04 07:59:00,445,1322,3,2,0,0.5,14432,26.14754886,91.72799519
2016-10-04 07:59:00,709,2009,2,1,0,1.0,9184,26.14747299,91.72804914
2016-10-04 07:59:00,195,2803,1,1,0,1.0,10496,26.14754061,91.72797041
2016-10-04 07:59:00,120,387,2,1,0,1.0,1312,26.14449459,91.73620513
2016-10-04 07:59:00,1081,3883,2,1,0,1.0,11808,26.14749943,91.72800489
2016-10-04 07:59:00,547,2937,2,1,0,0.5,13120,26.14749053,91.72799688
2016-10-04 07:59:00,588,3103,2,2,0,1.0,15744,26.14749998,91.72797778
2016-10-04 08:25:00,478,1322,2,1,0,1.5,14433,26.14754886,91.72799519
2016-10-04 08:25:00,267,485,2,1,0,1.5,6561,26.14004753,91.73097233
2016-10-04 08:25:00,780,2009,3,2,0,1.0,9185,26.14747299,91.72804914
2016-10-04 08:25:00,665,2937,2,1,0,1.0,13121,26.14749053,91.72799688
2016-10-04 08:25:00,1467,3883,3,1,0,0.5,11809,26.14749943,91.72800489
2016-10-04 08:25:00,129,387,2,2,0,1.0,1313,26.14449459,91.73620513
2016-10-04 08:25:00,302,687,1,1,0,1.0,3937,20.0000347,78.00000286
2016-10-04 08:25:00,174,470,1,1,0,0.5,2625,26.14901995,91.7395035
2016-10-04 08:25:00,678,3103,3,2,0,0.5,15745,26.14749998,91.72797778
2016-10-04 08:25:00,269,690,2,1,0,1.0,7873,26.13795775,91.74099445
2016-10-04 08:25:00,238,2803,2,2,0,1.0,10497,26.14754061,91.72797041
2016-10-04 08:25:00,761,1920,2,1,0,1.0,17057,26.15050395,91.73353109
2016-10-04 08:25:00,315,1200,2,1,0,0.5,5249,26.14001386,91.73099967
2016-10-04 08:25:00,64,577,1,1,0,1.0,1,26.14453614,91.73617216
2016-10-04 08:59:00,518,1322,3,2,0,1.0,14434,26.14754886,91.72799519
2016-10-04 08:59:00,155,387,2,1,0,1.0,1314,26.14449459,91.73620513
2016-10-04 08:59:00,323,2803,2,1,0,1.0,10498,26.14754061,91.72797041
2016-10-04 08:59:00,958,1920,2,1,0,1.0,17058,26.15050395,91.73353109
2016-10-04 08:59:00,2007,3883,2,1,0,1.0,11810,26.14749943,91.72800489
2016-10-04 08:59:00,415,690,3,1,0,0.5,7874,26.13795775,91.74099445
2016-10-04 08:59:00,278,485,2,1,0,1.0,6562,26.14004753,91.73097233
2016-10-04 08:59:00,269,470,2,1,0,1.5,2626,26.14901995,91.7395035
2016-10-04 08:59:00,346,687,2,1,0,1.5,3938,20.0000347,78.00000286
2016-10-04 08:59:00,80,577,2,1,0,1.0,2,26.14453614,91.73617216
2016-10-04 08:59:00,792,3103,3,1,0,1.0,15746,26.14749998,91.72797778
2016-10-04 08:59:00,441,1200,2,1,0,1.0,5250,26.14001386,91.73099967
2016-10-04 08:59:00,848,2937,2,1,0,0.5,13122,26.14749053,91.72799688
2016-10-04 08:59:00,864,2009,2,1,0,1.0,9186,26.14747299,91.72804914
2016-10-04 09:32:00,351,470,3,1,0,0.3,2627,26.14901995,91.7395035
2016-10-04 09:32:00,204,387,2,1,0,0.3,1315,26.14449459,91.73620513
